회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
페스카로,"임베디드 보안 솔루션, 차량전장 소프트웨어",,0015S0,대한민국,신규상장,주권,2025-12-10,,"엔에이치투자증권(주),한화투자증권(주)","그외 기타 전문, 과학 및 기술 서비스업",500,"15,500","20,150,000","9,662,730",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
테라뷰,테라헤르츠 전자기파 발생 및 응용 검사장비,,950250,영국,신규상장,주식예탁증권,2025-12-09,,삼성증권(주),기타 금융업,0.01,"8,000","40,000,000","35,517,731",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엔에이치스팩32호,합병,,0054V0,대한민국,신규상장,주권,2025-12-05,,엔에이치투자증권(주),금융 지원 서비스업,100,"2,000","10,300,000","6,216,500",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에임드바이오,ADC 기반 항암제,,0009K0,대한민국,신규상장,주권,2025-12-04,,미래에셋증권 주식회사,자연과학 및 공학 연구개발업,500,"11,000","70,730,000","64,156,161",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋비전스팩9호,기업인수합병,,0096D0,대한민국,신규상장,주권,2025-12-01,,미래에셋증권 주식회사,금융 지원 서비스업,100,"2,000","10,000,000","5,500,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼성스팩12호,기업인수합병,,0096B0,대한민국,신규상장,주권,2025-11-28,,삼성증권(주),기타 금융업,100,"2,000","12,000,000","6,580,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아로마티카,천연·비건 화장품,,0015N0,대한민국,신규상장,주권,2025-11-27,,신한투자증권 주식회사,기타 화학제품 제조업,500,"8,000","24,000,000","12,715,050",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋비전스팩8호,기업인수합병,,0093G0,대한민국,신규상장,주권,2025-11-27,,미래에셋증권 주식회사,금융 지원 서비스업,100,"2,000","12,000,000","6,400,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신영스팩11호,기업인수합병,,0091W0,대한민국,신규상장,주권,2025-11-24,,신영증권(주),금융 지원 서비스업,100,"2,000","11,600,000","6,068,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼양바이오팜,의료기기 및 의약품,,0120G0,대한민국,재상장,주권,2025-11-24,,KB증권(주),의약품 제조업,500,-,-,"7,435,870",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
