회사명,주요제품,비고,종목코드,국적,상장유형,증권구분,상장일,철회일,상장주선인/지정자문인,업종,액면가 (원),공모가 (원),공모금액 (천원),최초상장주식수 (주),유통가능주식수(주),유통비율,공모주식수,신주모집수량,구주매출수량,신주비중,구주비중,인수수수료,수수료율,수요예측 경쟁률,일반청약 경쟁률,기관투자자 참여건수,기관투자자 참여건수(국내),기관투자자 참여건수(해외),일반청약자 청약건수,의무보유 확약,청약증거금(백만원),수요예측일(시작),수요예측일(마감),청약일(시작),청약일(마감),납입일,희망공모가하단(원),희망공모가상단(원),결정 수준,주당평가가액(원),할인율(하단),할인율(상단),상장요건,평가등급(상위),평가등급(하위),가치평가방법,증권신고서 상 멀티플
~,,NEW_자동추가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라메디텍,초소형 레이저 의료기기 및 미용기기,,462510,대한민국,신규상장,주권,2024-06-17,,대신증권(주),의료용 기기 제조업,500,"16,000","20,768,000","8,650,735",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
그리드위즈,"수요관리 서비스, 전기차 충전기 모뎀 등",,453450,대한민국,신규상장,주권,2024-06-14,,삼성증권(주),"그외 기타 전문, 과학 및 기술 서비스업",200,"40,000","56,000,000","7,942,750",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미래에셋비전스팩4호,기업인수목적회사(기타금융서비스),,477380,대한민국,신규상장,주권,2024-05-29,,미래에셋증권 주식회사,금융 지원 서비스업,100,"2,000","13,300,000","8,100,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
노브랜드,"Knit, Woven 의류",,145170,대한민국,신규상장,주권,2024-05-23,,삼성증권(주),편조의복 제조업,500,"14,000","16,800,000","7,651,263",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이씨티케이,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발",,456010,대한민국,신규상장,주권,2024-05-17,,엔에이치투자증권(주),반도체 제조업,500,"20,000","39,400,000","13,124,496",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
KB제28호스팩,기업인수합병,,476470,대한민국,신규상장,주권,2024-05-17,,KB증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,505,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
HD현대마린솔루션,"AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",,443060,대한민국,신규상장,주권,2024-05-08,,"신한투자증권 주식회사,하나증권주식회사,유비에스증권 리미티드 서울지점,CS증권 서울지점,제이피모간증권회사 서울지점,KB증권(주)","건축기술, 엔지니어링 및 관련 기술 서비스업",500,"83,400","742,260,000","44,450,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
코칩,소형 및 초소형 슈퍼커패시터,,126730,대한민국,신규상장,주권,2024-05-07,,한국투자증권(주),전자부품 제조업,500,"18,000","27,000,000","8,503,460",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
SK증권제12호스팩,기업인수목적 주식회사,,473000,대한민국,신규상장,주권,2024-05-07,,SK증권(주),금융 지원 서비스업,100,"2,000","6,000,000","3,310,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
민테크,"배터리 진단시스템, 배터리 시스템, 충방전 검사장비",,452200,대한민국,신규상장,주권,2024-05-03,,KB증권(주),"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",100,"10,500","31,500,000","21,945,300",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
디앤디파마텍,대사성질환 치료제 등,,347850,대한민국,신규상장,주권,2024-05-02,,한국투자증권(주),자연과학 및 공학 연구개발업,500,"33,000","36,300,000","10,429,232",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유안타제16호스팩,금융 지원 서비스(기업인수목적회사),,474490,대한민국,신규상장,주권,2024-05-02,,유안타증권(주),금융 지원 서비스업,100,"2,000","10,300,000","5,510,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
제일엠앤에스,2차전지 믹싱시스템,,412540,대한민국,신규상장,주권,2024-04-30,,KB증권(주),특수 목적용 기계 제조업,500,"22,000","52,800,000","18,082,075",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나33호스팩,기업인수합병,,475250,대한민국,신규상장,주권,2024-04-24,,하나증권주식회사,금융 지원 서비스업,100,"2,000","7,000,000","3,700,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신한제13호스팩,기타금융서비스(기업합병),,474930,대한민국,신규상장,주권,2024-04-22,,신한투자증권 주식회사,금융 지원 서비스업,100,"2,000","6,000,000","3,620,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신한제12호스팩,금융서비스(기업인수목적회사),,474660,대한민국,신규상장,주권,2024-04-15,,신한투자증권 주식회사,금융 지원 서비스업,100,"2,000","10,000,000","5,520,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이엠비디엑스,"알파리퀴드ⓡ 100, 알파리퀴드ⓡ HRR, 알파리퀴드ⓡ 디텍트, 알파리퀴드ⓡ 스크리닝",,461030,대한민국,신규상장,주권,2024-04-03,,미래에셋증권 주식회사,자연과학 및 공학 연구개발업,100,"13,000","32,500,000","13,992,625",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
SK이터닉스,부동산 개발,,475150,대한민국,재상장,주권,2024-03-29,,엔에이치투자증권(주),건물 건설업,200,-,-,"25,560,170",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
하나32호스팩,기업인수합병,,475240,대한민국,신규상장,주권,2024-03-27,,하나증권주식회사,금융 지원 서비스업,100,"2,000","6,000,000","3,200,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엔젤로보틱스,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등",,455900,대한민국,신규상장,주권,2024-03-26,,엔에이치투자증권(주),특수 목적용 기계 제조업,500,"20,000","32,000,000","14,014,976",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼현,"스마트 액추에이터, 스마트 파워유닛",,437730,대한민국,신규상장,주권,2024-03-21,,한국투자증권(주),자동차 신품 부품 제조업,500,"30,000","60,000,000","10,569,189",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
오상헬스케어,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등",,036220,대한민국,신규상장,주권,2024-03-13,,엔에이치투자증권(주),의료용품 및 기타 의약 관련제품 제조업,500,"20,000","19,800,000","14,104,416",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
케이엔알시스템,"특수목적 시험장비, 산업용로봇",,199430,대한민국,신규상장,주권,2024-03-07,,"엔에이치투자증권(주),DB증권주식회사","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",100,"13,500","28,404,000","10,867,713",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나31호스팩,기업인수합병,,469900,대한민국,신규상장,주권,2024-03-05,,하나증권주식회사,금융 지원 서비스업,100,"2,000","10,000,000","5,605,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
비엔케이제2호스팩,금융 지원 서비스업,,473370,대한민국,신규상장,주권,2024-03-05,,(주)비엔케이투자증권,금융 지원 서비스업,100,"2,000","8,000,000","4,210,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
SK증권제11호스팩,기업인수목적 주식회사,,472230,대한민국,신규상장,주권,2024-03-04,,SK증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,155,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유진스팩10호,기업인수합병,,468760,대한민국,신규상장,주권,2024-02-29,,유진투자증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,240,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유안타제15호스팩,금융 지원 서비스,,473050,대한민국,신규상장,주권,2024-02-29,,유안타증권(주),금융 지원 서비스업,100,"2,000","13,000,000","7,010,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에이피알,"화장품, 피부미용기기 등",,278470,대한민국,신규상장,주권,2024-02-27,,"신한투자증권 주식회사,하나증권주식회사",기타 화학제품 제조업,500,"250,000","94,750,000","7,584,378",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
코셈,주사전자현미경(SEM),,360350,대한민국,신규상장,주권,2024-02-23,,키움증권(주),"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",500,"16,000","9,600,000","5,661,970",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
이에이트,"CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼",,418620,대한민국,신규상장,주권,2024-02-23,,한화투자증권(주),소프트웨어 개발 및 공급업,500,"20,000","22,600,000","9,465,149",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
케이웨더,"공기개선솔루션, 기상데이터, 공기측정솔루션 등",,068100,대한민국,신규상장,주권,2024-02-22,,엔에이치투자증권(주),일반 목적용 기계 제조업,500,"7,000","7,000,000","9,939,614",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
스튜디오삼익,"침실가구, 거실가구, 옷장/수납, 주방가구 등",,415380,대한민국,신규상장,주권,2024-02-06,,DB증권주식회사,기타 생활용품 소매업,500,"18,000","15,300,000","4,225,498",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신영스팩10호,기업인수합병,,472220,대한민국,신규상장,주권,2024-02-06,,신영증권(주),금융 지원 서비스업,100,"2,000","9,150,000","4,690,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
폰드그룹,"의류(언더웨어, 의복, 잡화, 코스메틱 등)",,472850,대한민국,재상장,주권,2024-02-02,,엔에이치투자증권(주),봉제의복 제조업,500,-,-,"32,343,933",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
이닉스,2차전지용 배터리셀 패드 등,,452400,대한민국,신규상장,주권,2024-02-01,,삼성증권(주),자동차 신품 부품 제조업,500,"14,000","42,000,000","9,071,428",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
IBKS제24호스팩,금융 지원 서비스업,,469480,대한민국,신규상장,주권,2024-02-01,,IBK투자증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,230,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엘앤에프,이차전지 양극활물질,,066970,대한민국,이전상장,주권,2024-01-29,,미래에셋증권 주식회사,일차전지 및 이차전지 제조업,500,-,-,"36,247,825",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
포스뱅크,"POS 단말기, KIOSK 단말기",,105760,대한민국,신규상장,주권,2024-01-29,,하나증권주식회사,일반 목적용 기계 제조업,500,"18,000","27,000,000","9,355,485",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
현대힘스,"선박기자재 (선박 블록, 보강재, 도장 등)",,460930,대한민국,신규상장,주권,2024-01-26,,미래에셋증권 주식회사,선박 및 보트 건조업,500,"7,300","63,561,100","34,824,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
HB인베스트먼트,벤처투자조합 등 조합 결성 및 운영,,440290,대한민국,신규상장,주권,2024-01-25,,엔에이치투자증권(주),기타 금융업,500,"3,400","22,667,800","26,867,010",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
우진엔텍,발전소 계측제어설비 정비 서비스,,457550,대한민국,신규상장,주권,2024-01-24,,KB증권(주),"그외 기타 전문, 과학 및 기술 서비스업",500,"5,300","10,918,000","9,271,339",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대신밸런스제17호스팩,금융 지원 서비스업,,471050,대한민국,신규상장,주권,2024-01-24,,대신증권(주),금융 지원 서비스업,100,"2,000","11,000,000","6,060,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
세븐브로이맥주,맥주 등 주류 및 음료,,267080,대한민국,신규상장,주권,2024-01-17,,키움증권(주),알코올음료 제조업,500,-,-,"11,871,408",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
포스코DX,EIC 자동화 엔지니어링 및 IT서비스,,022100,대한민국,이전상장,주권,2024-01-02,,KB증권(주),"건축기술, 엔지니어링 및 관련 기술 서비스업",500,-,-,"152,034,729",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
DS단석,바이오에너지,,017860,대한민국,신규상장,주권,2023-12-22,,"엔에이치투자증권(주),KB증권(주)",기타 화학제품 제조업,500,"100,000","122,000,000","5,861,404",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
IBKS제23호스팩,기업인수 및 합병,,467930,대한민국,신규상장,주권,2023-12-22,,IBK투자증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,230,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
하나30호스팩,기업인수합병,,469880,대한민국,신규상장,주권,2023-12-22,,하나증권주식회사,금융 지원 서비스업,100,"2,000","14,000,000","7,305,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
블루엠텍,의약품 유통업,,439580,대한민국,신규상장,주권,2023-12-13,,"키움증권(주),하나증권주식회사",기타 전문 도매업,100,"19,000","26,600,000","10,650,189",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
LS머트리얼즈,울트라커패시터(셀 및 모듈),,417200,대한민국,신규상장,주권,2023-12-12,,"KB증권(주),키움증권(주)",전자부품 제조업,500,"6,000","87,750,000","67,652,659",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
케이엔에스,이차전지 자동화 설비,,432470,대한민국,신규상장,주권,2023-12-06,,신영증권(주),특수 목적용 기계 제조업,100,"23,000","17,250,000","3,883,557",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
와이바이오로직스,항체의약품 및 항체후보물질 연구개발,,338840,대한민국,신규상장,주권,2023-12-05,,유안타증권(주),자연과학 및 공학 연구개발업,500,"9,000","13,500,000","13,866,898",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
교보15호스팩,기업인수합병,,465320,대한민국,신규상장,주권,2023-12-05,,교보증권(주),금융 지원 서비스업,100,"2,000","7,000,000","3,810,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
삼성스팩9호,기업인수합병,,468510,대한민국,신규상장,주권,2023-12-04,,삼성증권(주),금융 지원 서비스업,100,"2,000","20,000,000","11,050,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에이텀,평판형 트랜스,,355690,대한민국,신규상장,주권,2023-12-01,,하나증권주식회사,전자부품 제조업,500,"18,000","11,700,000","5,345,180",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
엔에이치스팩30호,금융지원서비스업,,466910,대한민국,신규상장,주권,2023-12-01,,엔에이치투자증권(주),금융 지원 서비스업,100,"2,000","16,000,000","9,100,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에이에스텍,자외선 차단제 유기 원료,,453860,대한민국,신규상장,주권,2023-11-28,,미래에셋증권 주식회사,기타 화학제품 제조업,500,"28,000","39,396,000","5,657,215",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
그린리소스,반도체 및 디스플레이 장비 보호코팅 및 소재,,402490,대한민국,신규상장,주권,2023-11-24,,엔에이치투자증권(주),반도체 제조업,500,"17,000","27,880,000","8,183,944",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한선엔지니어링,"계장용 피팅 및 밸브, 모듈",,452280,대한민국,신규상장,주권,2023-11-24,,대신증권(주),기타 금속 가공제품 제조업,500,"7,000","29,750,000","17,002,500",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
동인기연,"스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대",,111380,대한민국,신규상장,주권,2023-11-21,,엔에이치투자증권(주),"가죽, 가방 및 유사제품 제조업",100,"30,000","44,112,000","6,128,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에코아이,탄소배출권 및 탄소배출권 관련 컨설팅,,448280,대한민국,신규상장,주권,2023-11-21,,KB증권(주),기타 전문 서비스업,500,"34,700","72,141,300","9,877,043",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
스톰테크,"정수기 피팅, 밸브, 파우셋 등 부품",,352090,대한민국,신규상장,주권,2023-11-20,,iM증권,플라스틱제품 제조업,100,"11,000","36,850,000","13,436,499",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에코프로머티,배터리 양극재용 핵심소재 하이니켈 전구체,,450080,대한민국,신규상장,주권,2023-11-17,,"미래에셋증권 주식회사,엔에이치투자증권(주)",일차전지 및 이차전지 제조업,500,"36,200","419,224,960","68,226,958",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
프로젠,바이오의약품,,296160,대한민국,신규상장,주권,2023-11-15,,하나증권(주),자연과학 및 공학 연구개발업,500,-,-,"11,552,500",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
캡스톤파트너스,벤처투자조합 등 조합 결성 및 운영,,452300,대한민국,신규상장,주권,2023-11-15,,엔에이치투자증권(주),기타 금융업,200,"4,000","6,384,000","13,346,380",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스와이스틸텍,데크플레이트,,365330,대한민국,신규상장,주권,2023-11-13,,KB증권(주),"구조용 금속제품, 탱크 및 증기발생기 제조업",500,"1,800","12,600,000","30,610,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에이직랜드,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",,445090,대한민국,신규상장,주권,2023-11-13,,삼성증권(주),반도체 제조업,500,"25,000","65,908,250","10,585,320",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한국제13호스팩,기업인수합병,,464440,대한민국,신규상장,주권,2023-11-13,,한국투자증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,320,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
큐로셀,CAR-T 세포치료제,,372320,대한민국,신규상장,주권,2023-11-09,,"미래에셋증권 주식회사,삼성증권(주)",자연과학 및 공학 연구개발업,500,"20,000","32,000,000","13,612,736",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
비아이매트릭스,로우코드 기반 코딩 자동화 솔루션 등,,413640,대한민국,신규상장,주권,2023-11-09,,IBK투자증권(주),소프트웨어 개발 및 공급업,500,"13,000","15,600,000","7,206,940",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
메가터치,"배터리 핀, 반도체 핀",,446540,대한민국,신규상장,주권,2023-11-09,,엔에이치투자증권(주),일차전지 및 이차전지 제조업,500,"4,800","24,960,000","20,771,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
컨텍,"지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",,451760,대한민국,신규상장,주권,2023-11-09,,대신증권(주),"컴퓨터 프로그래밍, 시스템 통합 및 관리업",500,"22,500","46,350,000","14,384,224",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
쏘닉스,RF필터 파운드리,,088280,대한민국,신규상장,주권,2023-11-07,,KB증권(주),반도체 제조업,"1,000","7,500","27,000,000","17,306,490",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
KB제27호스팩,기업인수합병,,464680,대한민국,신규상장,주권,2023-11-03,,KB증권(주),금융 지원 서비스업,100,"2,000","25,000,000","12,905,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유투바이오,"체외진단검사서비스, 의료IT솔루션",,221800,대한민국,이전상장,주권,2023-11-02,,신한투자증권 주식회사,기타 과학기술 서비스업,500,"4,400","4,966,368","11,287,196",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유진테크놀로지,이차전지 정밀금형 외,,240600,대한민국,신규상장,주권,2023-11-02,,엔에이치투자증권(주),기타 금속 가공제품 제조업,500,"17,000","17,841,194","6,261,485",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
퀄리타스반도체,초고속 통신용 반도체 IP,,432720,대한민국,신규상장,주권,2023-10-27,,한국투자증권(주),반도체 제조업,500,"17,000","30,600,000","10,193,520",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
미쥬,"여성의류, 골프의류 등",,351020,대한민국,신규상장,주권,2023-10-26,,아이비케이투자증권(주),봉제의복 제조업,100,-,-,"2,075,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
워트,초정밀 온습도 제어장비,,396470,대한민국,신규상장,주권,2023-10-26,,키움증권(주),특수 목적용 기계 제조업,100,"6,500","26,000,000","16,120,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
에스엘에스바이오,"의약품 품질관리, 신약개발지원, 체외진단기기",,246250,대한민국,이전상장,주권,2023-10-20,,하나증권주식회사,"그외 기타 전문, 과학 및 기술 서비스업",500,"7,000","5,390,000","7,674,103",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신성에스티,전기차/2차전지 Busbar 및 배터리모듈 보호 부품 등,,416180,대한민국,신규상장,주권,2023-10-19,,미래에셋증권 주식회사,자동차 신품 부품 제조업,500,"26,000","52,000,000","9,039,778",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
퓨릿,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬",,445180,대한민국,신규상장,주권,2023-10-18,,미래에셋증권 주식회사,기초 화학물질 제조업,500,"10,700","44,265,900","16,769,188",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
바이오텐,"일반식품, 건강기능식품, 보조사료",,289170,대한민국,신규상장,주권,2023-10-13,,아이비케이투자증권(주),도시락 및 식사용 조리식품 제조업,500,-,-,"3,511,509",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
에이치엠씨제6호스팩,합병,,462020,대한민국,신규상장,주권,2023-10-13,,현대차증권주식회사,금융 지원 서비스업,100,"2,000","8,000,000","4,345,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
아이엠티,건식세정 장비 및 EUV Mask Baking Laser,,451220,대한민국,신규상장,주권,2023-10-10,,유안타증권(주),특수 목적용 기계 제조업,500,"14,000","22,120,000","7,874,611",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
레뷰코퍼레이션,"REVU 서비스(컨텐츠마케팅, 로컬, 에이전시)",,443250,대한민국,신규상장,주권,2023-10-06,,삼성증권(주),광고업,500,"15,000","33,600,000","10,969,386",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
두산로보틱스,협동로봇,,454910,대한민국,신규상장,주권,2023-10-05,,"한국투자증권(주),CS증권 서울지점,KB증권(주),엔에이치투자증권(주),미래에셋증권 주식회사",특수 목적용 기계 제조업,500,"26,000","421,200,000","64,819,980",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한싹,망간자료전송,,430690,대한민국,신규상장,주권,2023-10-04,,KB증권(주),소프트웨어 개발 및 공급업,500,"12,500","18,750,000","5,447,675",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
신한제11호스팩,금융서비스(기업인수목적 회사),,452980,대한민국,신규상장,주권,2023-10-04,,신한투자증권 주식회사,금융 지원 서비스업,100,"2,000","36,000,000","18,905,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
밀리의서재,전자책 정기구독 서비스,,418470,대한민국,신규상장,주권,2023-09-27,,미래에셋증권 주식회사,"서적, 잡지 및 기타 인쇄물 출판업",500,"23,000","34,500,000","8,110,389",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
인스웨이브시스템즈,"UI/UX 개발 솔루션, 엔터프라이즈 DX 솔루션, 금융 단말 솔루션 등",,450520,대한민국,신규상장,주권,2023-09-25,,신영증권(주),소프트웨어 개발 및 공급업,500,"24,000","26,400,000","4,901,526",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
STX그린로지스,해상운송업 및 물류업,,465770,대한민국,재상장,주권,2023-09-15,,신한투자증권 주식회사,해상 운송업,"2,500",-,-,"7,171,032",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
상상인제4호스팩,합병,,452670,대한민국,신규상장,주권,2023-09-14,,주식회사 상상인증권,금융 지원 서비스업,100,"2,000","9,000,000","5,220,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한화플러스제4호스팩,-,,455310,대한민국,신규상장,주권,2023-09-07,,한화투자증권(주),금융 지원 서비스업,100,"2,000","9,500,000","5,060,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
대신밸런스제16호스팩,기타 금융서비스업,,457630,대한민국,신규상장,주권,2023-09-04,,대신증권(주),금융 지원 서비스업,100,"2,000","13,000,000","7,310,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
유안타제11호스팩,금융 지원 서비스업,,444920,대한민국,신규상장,주권,2023-09-01,,유안타증권(주),금융 지원 서비스업,100,"2,000","10,000,000","5,240,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한국피아이엠,정밀 금속가공 부품,,448900,대한민국,신규상장,주권,2023-08-30,,아이비케이투자증권(주),자동차 신품 부품 제조업,500,-,-,"3,861,000",,,0.0,,, , ,, ,,,,,,,,,,,,,,,,,,,,,,,,
대신밸런스제15호스팩,금융 지원 서비스업,,457390,대한민국,신규상장,주권,2023-08-30,,대신증권(주),금융 지원 서비스업,100,"2,000","13,000,000","7,035,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
한국제12호스팩,기업인수합병,,458610,대한민국,신규상장,주권,2023-08-30,,한국투자증권(주),금융 지원 서비스업,100,"2,000","8,000,000","4,230,000",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
시큐레터,"SLE(이메일 보안), SLF(파일 보안)",,418250,대한민국,신규상장,주권,2023-08-24,,대신증권(주),소프트웨어 개발 및 공급업,500,"12,000","16,006,620","7,911,521",,,0.0,,, , ,,0% ,,,,,,,,,,,,,,,,,,,,,,,,
